ab_depth_reached,ab_instability,ab_pruning_rate,ab_ranking_correlation,ab_reach_depth,ab_root_eval_std,best_move_margin,branch_mean_spread,branch_top2_gap,branch_value_skew,branching_mean_d2,branching_mean_d4,budget_coverage,depth,depth_chance_inter,depth_deficit,depth_deficit_rel,exact_second_best_value,heur_incoherence,leaf_density,leaf_depth_std,leaf_value_range,leaf_value_std_d3,leaf_value_std_d5,mcts_best_value_estimate,mcts_unanimous,mcts_visit_entropy,mcts_vote_margin,node_budget,node_count_d4,total_internal_nodes,total_min_nodes,total_nodes,which_algo,which_algo_enc,which_better,which_better_enc,is_tie,ab_correct,mcts_correct,mcts_correct_rate,is_contested,margin_category,margin_category_enc,tree_difficulty,tree_difficulty_enc,delta,ab_regret,mcts_regret
2,1.0,0.0509259259259259,0.6013986013986014,2.093857335820011,0.49675096959504,0.0453920349259825,0.3892443019735864,0.010973930944819,-1.022566614697022,13.05217391304348,0.0,0.1310975609756097,3,0.22558682744284558,0.9061426641799888,0.3020475547266629,0.919313456380466,0.4556082984722426,0.9231707317073172,0.1115857450726075,1.9986990078346647,0.6568839092217585,0.0,0.8283845167219199,0,2.3307301382288563,0.0331393045022887,215,0,126,8,1640,MCTS,2,MCTS,1,0,0,1,0.6,1,low,0,medium,1,-0.222799891458465,0.240956705428858,0.018156813970393
2,1.0,0.0581818181818181,0.5757575757575758,2.3408562375776683,0.3475860899111797,0.1489994863154276,0.2870808379451454,0.1338978946803692,0.6335553399377764,10.370786516853933,0.0,0.0276991508289526,4,3.593817459064623,1.6591437624223315,0.4147859406055829,0.4817935286661275,0.1880974643059295,0.90497371613425,0.1166732786196644,1.9794638694376527,0.5121539400844781,0.0,0.6647237356915641,1,2.097612850568901,0.1006882857315902,274,8861,940,81,9892,Both,1,Tie,2,1,1,1,1.0,0,medium,1,easy,0,0.0,0.0,0.0
1,0.0,0.0,0.296969696969697,1.7596713889226254,0.388689251532881,0.0156497486076304,0.2671496931242588,0.6098433704770597,1.6445626444275103,0.0,0.0,0.5862068965517241,2,0.7784241503578634,0.2403286110773745,0.1201643055386872,-0.8082499677921916,0.3222538344594314,0.9051724137931034,0.0,1.6618516059771422,0.0,0.0,-0.0654405922740427,1,2.213085943139246,0.1058823529411764,68,0,11,7,116,Neither,3,Tie,2,1,0,0,0.0,1,low,0,hard,2,0.0,0.0156497486076304,0.0156497486076304
3,0.0,0.1174242424242424,0.6833333333333332,3.023252459633712,0.4499635497168613,0.4395582057533871,0.2308989850023201,0.0921626750660577,-0.3402617201656366,9.772151898734178,0.0,0.13609391124871,4,1.029513015650594,0.9767475403662886,0.2441868850915721,0.1046973744259752,0.32422688573453,0.8978328173374613,0.1221882027715921,1.9497555607344843,0.4243299556126773,0.0,0.4836587401969986,1,1.908003407455928,0.1982018959190121,1055,6882,792,524,7752,Both,1,Tie,2,1,1,1,1.0,0,high,2,easy,0,0.0,0.0,0.0
1,0.0,0.0,-0.1515151515151515,1.9136380790390015,0.5804234277582241,0.0177745975338696,0.301286498881264,0.0794227279139345,-0.3831963931419225,8.523255813953488,0.0,0.0801435406698564,3,1.6354967473388693,1.0863619209609985,0.3621206403203327,0.4000682217987142,0.3449277084843088,0.8839712918660287,0.0897394026067077,1.9120937467940888,0.4923513917170645,0.0,0.3043421230236972,0,2.241377373089505,0.017391304347826,67,0,97,6,836,MCTS,2,AB,0,0,0,1,0.6,1,low,0,medium,1,0.1460399616853404,0.0177745975338696,0.16381455921921
1,0.0,0.0,0.4999999999999999,1.4406426982957876,0.6723865281486641,0.5220900722041564,0.4297501692063799,0.6761691839800904,0.3542133513464557,8.63076923076923,0.0,0.03125,3,1.6790653375150004,1.5593573017042124,0.5197857672347375,0.2717377577584445,0.4664166567437938,0.884375,0.1184141065732582,1.999347855944245,0.7635082884156144,0.0,-0.1857246650096985,1,1.9726164275802176,0.0,20,0,74,4,640,AB,0,AB,0,0,1,0,0.0,0,high,2,medium,1,1.7167349973966748,0.0,1.7167349973966748
2,1.0,0.0,0.4999999999999999,2.7268330278608417,0.2738465467890582,0.6362017174771215,0.2341099905387196,0.0268908288328132,-0.7001161491102348,2.888888888888889,3.0327868852459017,0.068259385665529,5,0.0,2.2731669721391583,0.4546333944278317,0.0544972492853211,0.2966380582644247,0.6689419795221843,0.3113499245386195,1.995980181723945,0.2806931527902502,0.7344470697932649,0.8463501728843816,0,1.0279104833770718,0.18,20,69,97,26,293,AB,0,AB,0,0,1,0,0.4,0,high,2,medium,1,0.5430837518629054,0.0,0.5430837518629054
3,1.0,0.1112398609501738,0.7,3.076269645071146,0.1456687443100173,0.5342928341910902,0.2898676483224326,0.5734533271383121,1.8204857440313864,8.935064935064934,0.0,0.1328606658446362,4,3.0267479702699713,0.9237303549288534,0.2309325887322133,-0.5110138418230901,0.14360704596649,0.8871763255240444,0.1210573811414086,1.9986212795187943,0.4007219442847969,0.0,0.0304309394073199,1,1.6069826895879726,0.5193064175257982,862,5705,732,166,6488,Both,1,Tie,2,1,1,1,1.0,0,high,2,easy,0,0.0,0.0,0.0
2,0.0,0.1018518518518518,0.8833333333333332,2.9171813530296995,0.3956274826540926,0.3501642775143846,0.305288379578183,0.3211264834789257,-0.0978901844928248,8.534246575342467,0.0,0.0797262301146873,4,0.0,1.0828186469703005,0.2707046617425751,-0.0146189912831531,0.4118481190928438,0.8801331853496115,0.1239368315973902,1.9843854499610132,0.5318583534172345,0.0,0.6206294818374545,1,1.9892456528430136,0.179677623261694,431,4696,648,574,5406,Both,1,Tie,2,1,1,1,1.0,0,medium,1,easy,0,0.0,0.0,0.0
1,0.0,0.0,0.3212121212121212,1.3634165139304208,0.6612000966111378,0.0952182788334744,0.4505131130578553,0.077232696507778,0.1445970169242199,0.0,0.0,0.217391304347826,2,1.5570812231100177,0.6365834860695792,0.3182917430347896,0.6996881578815866,0.6954426944339076,0.8804347826086957,0.0,1.861000176918123,0.0,0.0,0.1221987169738003,1,2.302585092994045,0.0,20,0,11,2,92,Neither,3,MCTS,1,0,0,0,0.0,1,low,0,hard,2,-0.0960496023112321,0.9469000882323086,0.8508504859210765
