branching_factor,depth,chance_node_density,heur_noise_param,total_nodes,total_leaves,total_internal_nodes,total_chance_nodes,total_max_nodes,total_min_nodes,leaf_to_internal_ratio,chance_node_fraction,leaf_density,branching_mean,branching_std,realized_max_depth,leaf_depth_mean,leaf_depth_std,leaf_value_mean,leaf_value_std,leaf_value_min,leaf_value_max,leaf_value_range,leaf_fraction_positive,leaf_skew,leaf_value_median,leaf_iqr,leaf_frac_near_max,node_count_d1,chance_node_count_d1,leaf_value_mean_d1,leaf_value_std_d1,branching_mean_d1,node_count_d2,chance_node_count_d2,leaf_value_mean_d2,leaf_value_std_d2,branching_mean_d2,node_count_d3,chance_node_count_d3,leaf_value_mean_d3,leaf_value_std_d3,branching_mean_d3,node_count_d4,chance_node_count_d4,leaf_value_mean_d4,leaf_value_std_d4,branching_mean_d4,node_count_d5,chance_node_count_d5,leaf_value_mean_d5,leaf_value_std_d5,branching_mean_d5,node_budget,budget_coverage,ab_reach_depth,depth_deficit,depth_deficit_rel,branch_top2_gap,branch_mean_spread,branch_value_skew,top2_size_ratio,top2_depth_diff,chance_frac_top1,chance_frac_top2,heur_incoherence,heur_incoherence_std,heur_noise_to_signal,ab_nodes_visited,ab_pruning_rate,ab_root_eval_std,ab_instability,ab_depth_reached,ab_ranking_correlation,mcts_vote_margin,mcts_visit_entropy,mcts_best_value_estimate,exact_best_value,exact_second_best_value,best_move_margin,best_move_margin_normalized,ab_correct,mcts_correct,mcts_correct_rate,which_algo,margin_category,is_contested,which_better,delta,ab_regret,mcts_regret
7,5,0.7695410723138328,1.2058504690815728,15412,13332,2080,1602,427,51,6.4096153846153845,0.7701923076923077,0.8650402283934596,7.409134615384615,1.1504235094561774,5,4.983123312331233,0.1467731587573243,-0.06162190712949861,0.5860600427364572,-0.9947428082198734,0.9937277988094178,1.9884706070292912,0.4602460246024602,0.09750199928016987,-0.08720258688214862,1.0752429095620273,0.008325832583258325,7,4,-0.5537906150471344,0.0,6.333333333333333,38,29,0.0,0.0,7.578947368421052,288,212,-0.19540141951763876,0.5034784587028237,7.436781609195402,1941,1357,-0.08531985351038719,0.5476422938402526,7.405298759864713,13137,0,-0.06100823790608338,0.5866586533857336,0.0,1673,0.10855177783545289,3.8143455413859604,1.1856544586140396,0.23713089172280793,0.004451170118862591,0.35172584134691265,0.22626470044178287,1.006,0,0.7718446601941747,0.794044665012407,0.2141183233751347,0.20639082056087377,2.0575544844367193,1674,0.12664277180406214,0.26635169631487604,0.6666666666666666,4,0.6071428571428571,0.5343661593090584,1.1968341513808576,0.36473794030900303,0.4858476200161389,0.02240975005485894,0.46343786996127995,0.2330624693787356,1,1,1,Both,high,0,Tie,0.0,0.0,0.0
8,4,0.0,0.5621317380950466,3192,2778,414,0,50,364,6.7101449275362315,0.0,0.8703007518796992,7.707729468599034,1.173000679232296,4,3.987041036717063,0.12227369204940096,0.20683172530816382,0.46769736529924133,-0.9331198123008086,0.9840739152958891,1.9171937275966977,0.6609071274298056,-0.2902474805326969,0.23572941345880669,0.7596263071799905,0.01655867530597552,7,0,0.0,0.0,7.428571428571429,52,0,0.24330365135991233,0.3924449214584196,7.8979591836734695,387,0,0.11774463941295027,0.4243255471966434,7.689075630252101,2745,0,0.20776549463373803,0.468129607715544,0.0,0,0,0.0,0.0,0.0,169,0.05294486215538847,2.4669598120940615,1.5330401879059385,0.38326004697648464,0.1882159419819902,0.29006627614168096,0.5088582228074204,0.8377777777777777,0,0.0,0.0,0.33345672803864307,0.21599766870769407,1.2019134162438234,170,0.06470588235294118,0.4688660598987683,0.0,2,0.9642857142857142,0.10727272727272727,1.7833247086666524,0.7477449820539858,0.7162041256444872,0.4349491529271343,0.2812549727173529,0.14670138373022984,1,1,1,Both,medium,0,Tie,0.0,0.0,0.0
5,3,0.5995670030448133,0.9614357508796111,134,107,27,14,11,2,3.962962962962963,0.5185185185185185,0.7985074626865671,4.925925925925926,0.9398946326258903,3,2.97196261682243,0.16507964236126815,0.7150843082953973,0.5484180542738154,-0.9877097453912234,0.9999996740169352,1.9877094194081586,0.8878504672897196,-2.1742931505270016,0.9774763660398335,0.20778184528960586,0.5607476635514018,5,3,0.0,0.0,4.8,24,11,0.9931297571335655,0.003268921772319085,4.9523809523809526,104,0,0.7070637665019885,0.5542052752789172,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,20,0.14925373134328357,1.8613531161467862,1.1386468838532138,0.3795489612844046,0.020374491530888994,0.2806900348571617,-1.2194260849395495,1.2380952380952381,0,0.6,1.0,0.16201449982300928,0.2590171958207283,1.7531074029878368,21,0.0,0.1666885599709352,0.0,1,0.8999999999999998,0.0,1.5517770679545366,0.9601472529048886,0.9888352331432904,0.9769656954873731,0.01186953765591725,0.00597146521519801,1,0,0,AB,low,1,AB,0.05338356334661931,0.0,0.05338356334661931
3,7,0.47440071214971796,1.1026977478240674,2396,1669,727,350,283,94,2.2957359009628613,0.4814305364511692,0.6965776293823038,3.294360385144429,0.5612509088097244,7,6.9544637507489515,0.2963117043883546,0.26945484389504,0.5046176998943711,-0.9348184470594523,0.9985546555717383,1.9333731026311907,0.701617735170761,-0.4947416318917776,0.35541040323071843,0.8117166483447962,0.035949670461354104,2,1,0.0,0.0,3,6,2,0.0,0.0,3,18,8,0.7175752440628934,0.0812761078658889,3.4375,55,26,0.19397389710536223,0.5029090509746706,3.372549019607843,172,74,0.2802681616461598,0.2915293544443683,3.2830188679245285,134,0.055926544240400666,4.458205911649461,2.5417940883505388,0.3631134411929341,0.3003690747144153,0.15018453735720766,0.0,0.7636229749631811,0,0.4952978056426332,0.47174447174447176,0.2102463087959537,0.1983998287685881,2.1852141691718088,135,0.08148148148148149,0.040977876677801894,0.3333333333333333,4,0.9999999999999998,0.5079051383399209,0.5541918137046236,0.6163926605757161,0.5536075114191497,0.0036944661716003433,0.5499130452475494,0.2844319311669096,1,1,1,Both,high,0,Tie,0.0,0.0,0.0
14,2,0.03255879984953587,0.35842496548087127,182,168,14,1,1,12,12.0,0.07142857142857142,0.9230769230769231,12.928571428571429,1.8694646183289143,2,2,0.0,-0.1059434789236281,0.7765283476212758,-0.9999875182036675,0.9987901093087375,1.998777627512405,0.43452380952380953,0.2344581248123087,-0.3519877285896279,1.660776400891121,0.10714285714285714,13,1,0.0,0.0,12.923076923076923,168,0,-0.1059434789236281,0.7765283476212758,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,20,0.10989010989010989,1.1351524045863495,0.8648475954136505,0.43242379770682526,0.3031226756340108,0.49624227157283624,0.2186757630511701,0.9375,0,0.0,0.0,0.7514757505578105,0.512486525091088,0.4615735749748577,13,0.0,0.6543941427695177,0.0,1,0.6868131868131868,0.0,2.3025850929940455,-0.45178729601356515,0.20356439657423736,-0.40406077172017385,0.6076251682944112,0.3039983837775071,1,0,0,AB,high,0,AB,1.2010625960973773,0.0,1.2010625960973773
6,5,0.2039802149093399,1.2812049425136949,7529,6337,1192,246,809,137,5.316275167785235,0.2063758389261745,0.8416788418116615,6.315436241610739,1.0047688192629465,5,4.977276313713113,0.17797618657550163,0.0265657908904942,0.491099638278806,-0.9756414510280158,0.9914803610888846,1.9671218121169005,0.5411077797064857,-0.10440154769733605,0.05768587555448822,0.8072022187405217,0.009626005996528325,6,1,0.10950858372326791,0.0,6.8,34,5,0.13264739470958897,0.2625318260609445,6.166666666666667,185,40,0.11235442962760762,0.31068323905159534,6.283236994219653,1087,200,-0.010203990175450253,0.45659920954728367,6.323499491353001,6216,0,0.026933764564545635,0.49204622033552486,0.0,1886,0.25049807411342806,4.209389481526123,0.7906105184738772,0.15812210369477545,0.43851056395211563,0.27160303104624006,0.3750824326089753,0.5971261309207025,0,0.2111111111111111,0.20068027210884354,0.3052354279395305,0.268750024285099,2.6088492897368663,1887,0.15156332803391626,0.39458342238667043,1.0,4,0.7714285714285715,0.674617628773872,0.9568643808896165,0.546403582964166,0.671150545858827,0.10950858372326791,0.5616419621355592,0.2855145821046807,1,1,1,Both,high,0,Tie,0.0,0.0,0.0
8,4,0.260662839988019,1.056329800265119,3042,2671,371,84,31,256,7.199460916442049,0.22641509433962265,0.8780407626561473,8.196765498652292,1.2871290255050298,4,3.9910146012729313,0.11893756314795623,0.19687446510354273,0.7365202414428096,-0.9997301420968412,0.9999948788472165,1.9997250209440578,0.6091351553725196,-0.4102568207877392,0.44866425819644423,1.4531881997273235,0.19168850617746164,7,0,-0.2793289033164777,0.3814604802290075,8.6,43,12,-0.6997797514254835,0.0,8.071428571428571,339,72,0.17590655820707293,0.6914362552239003,8.210526315789474,2652,0,0.1976982009495882,0.7368017815328777,0.0,0,0,0.0,0.0,0.0,638,0.20973044049967127,3.10580420458829,0.8941957954117101,0.22354894885292753,0.097656682016799,0.4299940419061226,-0.4243377423115892,1.152046783625731,0,0.2222222222222222,0.2222222222222222,0.4670208244469948,0.42516909349144605,1.4342169309506239,639,0.10954616588419405,0.4639349273434791,0.5,3,0.6071428571428571,0.33145005004208916,1.5777786562706828,0.4373310939991316,0.10213157691252986,0.0642836922728938,0.037847884639636065,0.018926544521490417,0,0,0,Neither,low,1,Tie,0.0,0.037847884639636065,0.037847884639636065
4,7,0.21554663612056993,0.9422816354114713,25003,19001,6002,1249,3780,973,3.1657780739753414,0.2080973008997001,0.7599488061432628,4.165611462845718,0.696707901745852,7,6.968212199357929,0.22227895708314324,-0.10731426264214775,0.7930437491076812,-0.9999999771235308,0.9999968561241487,1.9999968332476796,0.44087153307720645,0.21649138711988838,-0.2867825365869496,1.7082752714337035,0.14741329403715595,5,3,0.0,0.0,4.2,21,3,0.0,0.0,3.9047619047619047,82,19,-0.13896763089437758,0.6586358240936001,4.089743589743589,319,63,0.07088926024437282,0.7661824987637164,4.1891891891891895,1240,244,-0.02862744509993921,0.7366186151399733,4.14878892733564,958,0.03831540215174179,4.95194092286809,2.04805907713191,0.29257986816170145,0.1830738815409358,0.33649181982365267,0.2735445671792975,1.421294964028777,0,0.21368243243243243,0.21650717703349281,0.2953465210691426,0.3551523349162067,1.188183673941961,959,0.145985401459854,0.4771395370672589,1.0,4,0.8999999999999998,0.3711064160506587,1.0781583668869716,0.5147326208639948,0.6861585296014729,0.3136131818592494,0.37254534774222353,0.18627296881128988,0,1,1,MCTS,medium,0,MCTS,-0.37254534774222353,0.37254534774222353,0.0
10,4,0.0,0.5207532606663212,9099,8195,904,0,87,817,9.065265486725664,0.0,0.9006484229036158,10.064159292035399,1.5791362182740871,4,3.9904820012202564,0.11225004560750576,-0.256228382870964,0.5101446777812333,-0.9935500643223654,0.97524808325669,1.9687981475790552,0.31092129347162906,0.5002320587614649,-0.35588930849859557,0.821756272596987,0.0023184868822452714,11,0,-0.5961300292473412,0.0,9.6,96,0,-0.2891689462060503,0.32654221327979827,10.023255813953488,862,0,-0.2564885457915036,0.4171932037573555,10.073110285006196,8129,0,-0.2561442868886345,0.5109170483435951,0.0,0,0,0.0,0.0,0.0,1194,0.1312232113419057,3.0770043267933502,0.9229956732066498,0.23074891830166244,0.0071549362988241605,0.18908903427849172,-0.18935583574606366,1.2565947242206235,0,0.0,0.0,0.3736824459546357,0.24124690029974405,1.020795243677201,1195,0.1096234309623431,0.27299063296882203,0.5,3,0.7636363636363637,0.04163065579346967,2.2689175364874408,-0.08717305895494186,-0.4117235998837358,-0.5483868034152254,0.13666320353148959,0.06941453276941485,1,1,0.8,Both,medium,0,AB,0.027332640706297928,0.0,0.027332640706297928
13,4,0.7919672922354536,1.0110146846889614,23846,21991,1855,1439,33,383,11.854986522911052,0.7757412398921832,0.922209175543068,12.8544474393531,1.8983182809410277,4,3.9909053703787913,0.10141580488380952,0.21673284040803803,0.5264356615603344,-0.978008904634319,0.9971878502448095,1.9751967548791285,0.6565413123550543,-0.38981547710222675,0.30249883530887145,0.8820042960366743,0.026374425901505162,13,8,0.0,0.0,12.307692307692308,160,114,0.2308179201599065,0.4372999494745504,12.787671232876713,1867,1317,0.2465691713220964,0.49535849337502225,12.864306784660767,21805,0,0.21648844508431667,0.5267190271813719,0.0,0,0,0.0,0.0,0.0,9769,0.4096703849702256,3.5817351944699,0.41826480553010015,0.10456620138252504,0.14579081278994632,0.296919035723118,0.19390132449223835,0.9098563645368994,0,0.7902097902097902,0.7531645569620253,0.23127746265943663,0.2166535174274299,1.9204904958230868,9770,0.09508700102354145,0.473346061129511,0.0,4,0.7417582417582418,0.130361890630571,1.7638988757729002,0.58990115416052,0.39015777052569345,0.3431217328267574,0.04703603769893605,0.023813342940518553,0,0,0,Neither,low,1,Tie,0.0,0.11006853438291841,0.11006853438291841
